日付,馬名,スコア,レースID
2026.1.1,アイアムアッパレ,5.2,2026011106010403
2026.1.3,アイアムアッパレ,9.1,2026013105010103
2026.3.1,アイアムアッパレ,9.9,2026030106020202
2026.3.2,アイアムアッパレ,30.0,2026032106020702
2026.2.1,アイアムアヒーロー,1.0,2026021405010505
2026.2.1,アイアムイチバン,26.6,2026020105010204
2026.3.1,アイアムイチバン,3.1,2026031406020508
2026.3.2,アイアムジャイアン,5.7,2026032106020704
2026.1.1,アイアムステキ,20.1,2026011706010601
2026.2.7,アイアムユウシュン,5.2,2026020708020309
2026.3.7,アイアムユウシュン,38.2,2026030709010510
2026.3.8,アイアンクラッド,8.0,2026030806020402
2026.3.8,アイアンソリッド,27.0,2026030806020406
2026.2.1,アイアンナックル,21.6,2026020105010201
2026.2.2,アイアンナックル,17.4,2026022209010202
2026.1.1,アイアンパイク,47.1,2026011106010402
2026.2.7,アイアンパイク,25.6,2026020705010306
2026.3.1,アイアンパイク,34.3,2026030106020205
2026.1.2,アイアンブランド,3.5,2026012406010801
2026.1.3,アイアンロッキー,5.3,2026013105010101
2026.4.5,アイアンロッキー,0.5,2026040506030402
2026.1.2,アイウィル,34.3,2026012510010210
2026.1.5,アイウィル,32.3,2026010506010209
2026.2.2,アイウィル,20.1,2026022110010911
2026.2.7,アイウィル,34.3,2026020710010511
2026.1.2,アイカンアズーラ,42.7,2026012508010903
2026.3.1,アイカンアズーラ,47.2,2026031509010801
2026.2.1,アイガーリー,39.5,2026021408020509
2026.3.2,アイガーリー,20.1,2026032207010409
2026.2.2,アイク,6.1,2026022809010303
2026.2.1,アイサンサン,9.1,2026020105010210
2026.2.2,アイサンサン,19.3,2026022209010210
2026.3.2,アイサンサン,17.4,2026032207010411
2026.2.1,アイスアイスベイビ,16.1,2026021005010406
2026.3.2,アイスアイスベイビ,23.3,2026032906030205
2026.3.7,アイスアイスベイビ,30.0,2026030706020305
2026.1.1,アイスアンドスノー,34.3,2026011206010506
2026.3.1,アイスグリーン,13.8,2026030110011211
2026.1.5,アイスブレイカー,18.8,2026010506010212
2026.3.1,アイスブレイカー,19.1,2026031406020508
2026.3.2,アイスブレイカー,26.6,2026032106020712
2026.4.5,アイスブレイカー,21.0,2026040506030408
2026.1.1,アイスメルティング,51.2,2026011206010501
2026.2.7,アイスメルティング,13.8,2026020705010307
2026.4.5,アイゼンハイム,5.7,2026040509020404
2026.1.1,アイデアユー,9.9,2026011106010405
2026.1.2,アイデアユー,47.0,2026012406010802
2026.3.2,アイデアユー,55.0,2026032206020802
2026.1.3,アイドクレース,29.5,2026013110010307
2026.2.1,アイドクレース,23.6,2026021410010709
2026.2.2,アイドクレース,25.6,2026022806020106
2026.1.4,アイドル,34.3,2026010406010108
2026.1.1,アイニードユー,23.6,2026011708010610
2026.2.7,アイニードユー,20.1,2026020708020310
2026.3.7,アイニードユー,27.0,2026030709010511
2026.3.8,アイビーキラリ,3.1,2026030806020402
2026.2.2,アイビーチーキー,8.5,2026022105010704
2026.2.2,アイビーミャーオ,8.0,2026022809010301
2026.1.1,アイファーウィーク,3.1,2026011106010405
2026.2.2,アイファーグローブ,4.2,2026022210011010
2026.1.1,アイファースキャン,4.2,2026011206010510
2026.2.2,アイファースキャン,1.0,2026022806020110
2026.1.1,アイファーセラピー,5.6,2026011206010505
2026.2.1,アイファーセラピー,5.2,2026021008020401
2026.3.2,アイファーセラピー,17.3,2026032806030103
2026.2.2,アイファーバトル,6.1,2026022209010209
2026.1.2,アイファーファイト,2.0,2026012410010112
2026.2.1,アイファーファイト,9.1,2026021510010812
2026.3.1,アイファーファイト,9.1,2026030110011212
2026.1.2,アイファーモービル,26.6,2026012510010203
2026.2.1,アイファーモービル,39.5,2026021510010803
2026.3.7,アイファーモービル,20.1,2026030709010512
2026.2.1,アイブリンク,21.0,2026021008020407
2026.3.2,アイブリンク,21.4,2026032907010607
2026.2.2,アイムイン,47.1,2026022205010804
2026.3.1,アイムイン,44.6,2026031406020505
2026.2.1,アイムインディ,5.6,2026021405010505
2026.3.2,アイムインディ,55.7,2026032806030101
2026.3.7,アイムインディ,29.5,2026030706020301
2026.1.2,アイムスティルミー,5.2,2026012410010102
2026.2.1,アイムスティルミー,2.0,2026021505010602
2026.3.8,アイムスティルミー,47.2,2026030806020403
2026.2.2,アイランドピーク,13.8,2026022810011103
2026.3.2,アイランドピーク,6.3,2026032906030208
2026.2.1,アイルシャイン,32.3,2026021008020409
2026.1.1,アイルトン,6.1,2026011208010502
2026.1.3,アイルトン,1.0,2026013108020106
2026.2.2,アイルトン,9.9,2026022109010105
2026.3.1,アイルトン,32.3,2026031409010704
2026.2.2,アイルドゥレーヴェ,17.4,2026022209010204
2026.2.1,アイヲツグモノ,3.1,2026021510010810
2026.3.2,アインプロージット,17.3,2026032806030101
2026.1.5,アウェイクネス,9.9,2026010508010205
2026.1.2,アウクソー,6.8,2026012510010209
2026.3.1,アウクソー,6.8,2026031407010112
2026.1.2,アウスヴァール,3.1,2026012506010911
2026.2.1,アウダーシア,47.2,2026020105010212
2026.3.1,アウダーシア,17.4,2026031506020611
2026.2.1,アウトザロー,17.4,2026020110010402
2026.2.2,アウトザロー,7.9,2026022809010303
2026.1.2,アウトリュコス,34.3,2026012508010905
2026.2.1,アウトリュコス,1.0,2026021508020606
2026.4.5,アウトリュコス,2.2,2026040509020402
2026.1.2,アウフヘーベン,34.3,2026012510010211
2026.3.1,アウラニ,9.8,2026031407010101
2026.3.2,アウラニ,15.0,2026032807010505
2026.2.1,アウローラシエル,5.3,2026020110010408
2026.3.2,アウローラシエル,8.3,2026032907010609
2026.2.1,アエログラム,4.2,2026021505010605
2026.1.1,アオイハルカ,3.5,2026011008010305
2026.1.3,アオイハルカ,30.6,2026013108020106
2026.2.2,アオイミズホ,20.3,2026022105010703
2026.2.7,アオイミズホ,34.3,2026020705010303
2026.3.2,アオイミズホ,27.0,2026032106020702
2026.1.1,アオイミモザ,13.8,2026011108010408
2026.1.2,アオイミモザ,4.2,2026012408010812
2026.3.2,アオイミモザ,7.8,2026032209011012
2026.4.5,アオイミモザ,6.6,2026040509020407
2026.2.1,アオイレーギーナ,30.6,2026021008020408
2026.3.8,アオイレーギーナ,39.5,2026030806020412
2026.2.1,アオカミ,1.0,2026021505010612
2026.3.2,アオカミ,3.1,2026032206020809
2026.1.4,アオゾラランチ,32.3,2026010406010106
2026.1.1,アオハルブルース,34.3,2026011206010503
2026.3.1,アオハルブルース,2.8,2026031406020504
2026.4.4,アオハルブルース,35.7,2026040406030302
2026.3.1,アカウフリューゲル,5.6,2026030110011205
2026.4.4,アカツキロットリー,1.5,2026040409020307
2026.2.2,アカデミア,26.7,2026022205010807
2026.2.1,アガシ,17.4,2026021008020410
2026.3.2,アガシ,34.3,2026032206020811
2026.2.2,アキノビューティー,29.5,2026022209010201
2026.2.7,アキノビューティー,5.6,2026020708020304
2026.1.1,アクアアイ,30.6,2026011208010512
2026.3.1,アクアアイ,47.2,2026031409010704
2026.4.4,アクアアイ,54.0,2026040409020304
2026.1.2,アクアホワイト,10.4,2026012510010205
2026.1.2,アクアマイスター,34.3,2026012410010103
2026.2.2,アクアマイスター,1.0,2026022209010202
2026.3.8,アクアマイスター,18.5,2026030809010602
2026.4.5,アクアマイスター,54.0,2026040509020403
2026.3.1,アクアマリーナ,30.0,2026031507010206
2026.3.2,アクアマーズ,21.6,2026032206020805
2026.1.5,アクアヴァーナル,47.2,2026010508010211
2026.3.2,アクアヴァーナル,34.2,2026032209011011
2026.1.3,アクイローネ,27.0,2026013110010312
2026.2.1,アクイローネ,9.9,2026021410010712
2026.3.1,アクイローネ,4.2,2026030110011209
2026.1.1,アクシズ,5.6,2026011006010303
2026.2.7,アクシズ,10.4,2026020710010503
2026.3.2,アクシズ,9.9,2026032206020801
2026.2.2,アクシュラ,30.0,2026022210011001
2026.3.2,アクシュラ,40.2,2026032807010502
2026.3.7,アクシュラ,9.1,2026030709010501
2026.3.2,アクションプラン,23.3,2026032906030211
2026.3.8,アクションプラン,9.1,2026030806020410
2026.1.1,アクセス,9.9,2026011806010711
2026.1.5,アクティブヘイロー,5.6,2026010508010202
2026.2.1,アクティングエリア,27.0,2026021510010805
2026.3.2,アクトサージ,5.6,2026032106020705
2026.3.1,アクロスザリバー,5.6,2026030109010408
2026.1.4,アクロスメモリア,21.0,2026010406010101
2026.3.7,アクロスメモリア,29.5,2026030706020303
2026.1.2,アクロフェイズ,25.6,2026012408010809
2026.3.1,アクロフェイズ,32.3,2026031506020611
2026.3.2,アクートゥス,2.6,2026032909020211
2026.1.1,アグアフレスカ,4.2,2026011106010406
2026.2.2,アグアフレスカ,20.1,2026022105010705
2026.1.3,アグネスクレスト,21.6,2026013105010110
2026.2.2,アグネスクレスト,17.4,2026022110010909
2026.3.8,アグネスクレスト,7.8,2026030806020407
2026.2.1,アグネスブリッツ,9.1,2026020105010205
2026.3.1,アグラード,4.2,2026030106020212
2026.1.1,アグレイビューティ,9.1,2026011708010605
2026.3.2,アグレイビューティ,33.7,2026032909020201
2026.1.1,アケルナルスター,3.1,2026011206010511
2026.1.1,アゲンストオッズ,34.3,2026011208010503
2026.3.2,アゲンストオッズ,13.8,2026032207010405
2026.2.2,アサカラキング,34.3,2026022109010111
2026.2.2,アサクサグレース,5.6,2026022210011012
2026.3.1,アサクサグレース,13.8,2026031409010709
2026.1.3,アサクサダイアナ,6.1,2026013105010101
2026.3.2,アサクサダイアナ,8.3,2026032806030103
2026.2.1,アサヒ,1.0,2026021505010610
2026.3.1,アサヒ,1.0,2026031506020610
2026.3.2,アサヒ,5.7,2026032909020211
2026.1.5,アシャカタカ,3.1,2026010506010211
2026.3.1,アシャカタカ,4.2,2026030106020210
2026.1.1,アシャカバッハ,18.7,2026011706010601
2026.3.1,アシャカバッハ,3.1,2026031406020503
2026.2.1,アシャカブラン,5.6,2026021510010804
2026.1.1,アシャカルッカ,13.8,2026011706010601
2026.3.1,アシャカルッカ,5.6,2026031507010201
2026.1.3,アシャカルー,21.6,2026013108020103
2026.3.1,アシャカルー,4.1,2026030109010402
2026.3.2,アシャカロッケ,15.0,2026032806030101
2026.1.2,アジアミッション,17.4,2026012506010910
2026.3.2,アジアミッション,8.3,2026032806030109
2026.1.1,アジアントレジャー,12.9,2026011006010309
2026.1.2,アジアントレジャー,4.2,2026012406010806
2026.3.7,アジャイブ,1.0,2026030706020306
2026.2.7,アジュアカレンツ,34.2,2026020705010302
2026.2.2,アジュマン,3.5,2026022209010209
2026.3.2,アジュマン,32.5,2026032809020110
2026.1.2,アジーザム,17.4,2026012510010202
2026.3.2,アジーザム,4.2,2026032106020701
2026.1.1,アスクアイルビゼア,27.0,2026011108010408
2026.1.3,アスクアイルビゼア,34.2,2026013105010108
2026.2.2,アスクアイルビゼア,39.5,2026022205010812
2026.3.2,アスクアメージモア,3.1,2026032107010312
2026.4.5,アスクアメージモア,6.6,2026040509020406
2026.2.1,アスクイキゴミ,20.1,2026020105010205
2026.4.4,アスクイキゴミ,11.2,2026040409020311
2026.2.2,アスクウルトラモア,1.0,2026022110010906
2026.3.7,アスクウルトラモア,1.0,2026030709010504
2026.3.1,アスクエジンバラ,47.2,2026031506020611
2026.1.1,アスクエピソード,5.6,2026011008010310
2026.2.1,アスクエピソード,4.1,2026020108020212
2026.4.5,アスクエピソード,15.0,2026040509020408
2026.1.1,アスクオンディープ,35.3,2026011806010704
2026.1.1,アスクガンバーレ,32.3,2026011808010707
2026.1.5,アスクガンバーレ,34.2,2026010508010207
2026.3.2,アスクガンバーレ,33.7,2026032807010509
2026.1.1,アスクキングコング,3.1,2026011808010710
2026.3.2,アスクキングコング,2.6,2026032909020212
2026.2.2,アスクケンタッキー,16.9,2026022209010206
2026.2.7,アスクケンタッキー,4.1,2026020708020306
2026.1.1,アスクコモンタレヴ,34.3,2026011808010708
2026.2.7,アスクコモンタレヴ,47.2,2026020708020307
2026.3.8,アスクコモンタレヴ,47.0,2026030809010607
2026.1.2,アスクシュタイン,24.2,2026012408010810
2026.2.2,アスクセクシーモア,6.8,2026022205010810
2026.1.5,アスクチャンスマン,25.6,2026010508010202
2026.2.1,アスクチャンスマン,30.8,2026020108020203
2026.4.5,アスクチャンスマン,33.7,2026040509020405
2026.1.2,アスクデッドヒート,32.3,2026012410010107
2026.2.1,アスクデッドヒート,34.3,2026021510010807
2026.2.2,アスクデッドヒート,34.3,2026022810011109
2026.1.4,アスクデビューモア,34.2,2026010406010109
2026.3.8,アスクデビューモア,17.4,2026030806020410
2026.2.1,アスクドゥチャンプ,9.9,2026021405010504
2026.2.2,アスクドゥチャンプ,24.8,2026022809010302
2026.3.2,アスクドゥチャンプ,33.7,2026032807010504
2026.1.5,アスクドゥポルテ,26.6,2026010508010211
2026.2.8,アスクドゥポルテ,25.6,2026020810010611
2026.1.1,アスクナイスショー,5.6,2026011006010311
2026.3.2,アスクナイスショー,16.8,2026032806030111
2026.1.1,アスクビギンアゲン,3.1,2026011108010410
2026.1.2,アスクビギンアゲン,1.0,2026012508010910
2026.3.2,アスクファイアモア,3.1,2026032209011004
2026.3.2,アスクファイアモア,8.3,2026032807010505
2026.2.2,アスクブームキセキ,20.1,2026022109010105
2026.1.4,アスクホープマン,18.8,2026010406010103
2026.2.1,アスクホープマン,3.5,2026021405010503
2026.1.2,アスクメークシェア,30.6,2026012510010212
2026.2.1,アスクメークシェア,13.8,2026021510010807
2026.2.1,アスクワンタイム,21.6,2026021510010811
2026.3.1,アスクワンタイム,39.5,2026031509010811
2026.1.2,アスクヴォルテージ,17.4,2026012508010912
2026.2.2,アスクヴォルテージ,39.5,2026022209010208
2026.3.2,アスクヴォルテージ,23.3,2026032907010609
2026.2.2,アスコットアイ,6.8,2026022810011103
2026.2.2,アスコットダンス,34.3,2026022210011006
2026.2.8,アスコットダンス,7.8,2026020810010606
2026.3.1,アスコットヴェール,25.6,2026031406020501
2026.2.1,アスゴッド,12.9,2026020110010403
2026.2.1,アスゴッド,30.6,2026021408020512
2026.3.1,アスゴッド,12.4,2026030106020212
2026.1.1,アスタウイン,1.0,2026011008010301
2026.2.1,アスタウイン,34.2,2026020108020201
2026.1.1,アスターエポワス,47.1,2026011208010503
2026.1.1,アスターシャウルス,4.2,2026011008010301
2026.4.4,アスターシャウルス,1.5,2026040409020304
2026.3.2,アスターブジエ,16.8,2026032909020210
2026.3.8,アスターブジエ,17.4,2026030806020409
2026.1.2,アスターラングル,4.2,2026012510010201
2026.3.2,アスターラングル,2.2,2026032807010501
2026.2.2,アスターリコッタ,6.1,2026022809010303
2026.2.7,アスターリコッタ,3.1,2026020710010501
2026.2.1,アスタールテニウム,3.1,2026021510010812
2026.1.1,アスタールフナ,34.3,2026011106010412
2026.3.1,アスタールフナ,12.4,2026030109010412
2026.3.2,アスタールフナ,17.4,2026032909020212
2026.3.1,アスティスプマンテ,30.6,2026030106020210
2026.1.2,アステリアート,34.2,2026012408010806
2026.1.5,アステリアート,2.2,2026010506010205
2026.2.2,アストラカ,9.9,2026022209010212
2026.2.8,アストラカ,3.1,2026020810010610
2026.1.2,アストラッド,3.1,2026012510010208
2026.2.8,アストラッド,5.6,2026020810010608
2026.1.2,アストリル,34.3,2026012510010207
2026.2.7,アストリル,34.3,2026020710010506
2026.3.1,アストリル,33.3,2026030110011202
2026.1.1,アスパラゴ,9.1,2026011106010402
